title,overview,release_date,Year,Month,Day,vote_average,vote_count,popularity,production_companies,runtime,budget,revenue,profit,ROI,genres,Action,Adventure,Science Fiction,Drama,Thriller,Comedy,Animation,Fantasy,Horror,Romance,Mystery,Documentary,Music,Western,Crime
London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",2016-03-02,2016,3,2,6.2,4410,42.753,"['Millennium Media', 'Gramercy Pictures', 'G-BASE', 'LHF Film', 'Nu Boyana Film Studios']",99,60,205,145,2.4,"['Action', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Allied,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",2016-11-17,2016,11,17,6.784,4254,22.663,"['Paramount', 'GK Films', 'ImageMovers', 'Huahua Media']",124,85,119,34,0.4,"['Action', 'Drama', 'War', 'Romance', 'Thriller']",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Deepwater Horizon,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",2016-09-28,2016,9,28,6.859,4222,25.537,"['Summit Entertainment', 'Participant', 'di Bonaventura Pictures', 'Closest to the Hole Productions', 'Leverage', 'TIK Films', 'Lionsgate']",107,110,121,11,0.1,"['Drama', 'Action']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ice Age: Collision Course,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations.",2016-06-23,2016,6,23,6.074,4180,42.753,"['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",95,105,408,303,2.9,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Neighbors 2: Sorority Rising,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,2016-05-04,2016,5,4,5.817,4165,24.425,"['Perfect World Pictures', 'Point Grey Pictures', 'Good Universe', 'Universal Pictures']",92,35,108,73,2.1,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dirty Grandpa,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",2016-01-20,2016,1,20,5.914,4130,34.831,"['Covert Media', 'Lionsgate', 'BillBlock Media', 'QED International', 'Josephson Entertainment', ""Ninjas Runnin' Wild Productions""]",102,11,94,82,7.2,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hell or High Water,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,2016-08-11,2016,8,11,7.304,4130,16.015,"['Sidney Kimmel Entertainment', 'Film 44', 'OddLot Entertainment', 'Estrella Media', 'Lionsgate', 'CBS Films', 'Sierra/Affinity']",102,12,37,25,2.1,"['Western', 'Crime', 'Drama']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Snowden,CIA employee Edward Snowden leaks thousands of classified documents to the press.,2016-09-15,2016,9,15,7.1,4086,18.367,"['KrautPack Entertainment', 'Vendian Entertainment', 'Endgame Entertainment']",134,40,37,-2,-0.1,"['Drama', 'History', 'Crime', 'Thriller']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",2016-07-28,2016,7,28,6.496,3892,19.778,"['STX Films', 'BillBlock Media', 'Robert Simonds Productions', 'Suzanne Todd Productions', 'Huayi Brothers Pictures', 'Universal Pictures']",100,20,183,163,8.2,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Why Him?,A dad forms a bitter rivalry with his daughter's young rich boyfriend.,2016-12-22,2016,12,22,6.377,3875,17.055,"['21 Laps Entertainment', 'TSG Entertainment', '20th Century Fox', 'Red Hour']",111,38,118,80,2.1,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
